2026-06-27 22:36:21,921 | INFO | __main__ | Starting executable reproducibility workflow.
2026-06-27 22:36:21,922 | INFO | __main__ | Loading configuration from configs\ieee33_benchmark.yaml
2026-06-27 22:36:21,923 | INFO | core.model | Building network from config...
2026-06-27 22:36:21,923 | INFO | core.model | Network model ready: 33 buses, 32 lines, 1 transformers.
2026-06-27 22:36:21,923 | INFO | core.simulation | Running power flow simulation...
2026-06-27 22:36:21,923 | INFO | core.simulation | Power flow simulation complete: 44.580 kW losses.
2026-06-27 22:36:21,923 | INFO | core.analysis | Analyzing voltage profile and benchmark indicators...
2026-06-27 22:36:21,924 | INFO | core.analysis | Analysis complete: 12 voltage violations.
2026-06-27 22:36:21,924 | INFO | core.economics | Evaluating economic indicators...
2026-06-27 22:36:21,924 | INFO | core.economics | Economic evaluation complete: 53572.08 USD total placeholder cost.
2026-06-27 22:36:21,932 | INFO | __main__ | Reproducible run complete. Artifact manifest: {'network_model': 'outputs/demo/network_model.json', 'simulation_results': 'outputs/demo/simulation_results.json', 'analysis': 'outputs/demo/analysis.json', 'economics_summary': 'outputs/demo/economics_summary.json', 'voltage_profile': 'outputs/demo/voltage_profile.csv'}
